;;20.10.20Abbigliamento donna;810,76;0;-810,76;
;;20.10.30Abbigliamento bambino;0;0;0;
;20.15;Regali vari;0;0;0;
;20.20;Spese scuola e/o scolastiche;0;0;0;
30;;Casa;14.143,43;0;-14.143,43;
;30.01;spese manutenzione casa;12.132,64;0;-12.132,64;
;;30.01.01Idraulico per la casa;10,5;0;-10,5;
;;30.01.02Manutenzione Caldaia;123,6;0;-123,6;
;;30.01.03Spese GE.CO o geco;723,73;0;-723,73;
;;30.01.04Foto voltaico (OBSOLETO);0;0;0;
;;30.01.05Elettricista per la casa;0;0;0;
;;30.01.06Imbianchino per la casa;0;0;0;
;;30.01.07Falegname per la casa;0;0;0;
;;30.01.08Architetto per la casa;4.400;0;-4.400;
;;30.01.10Accessori X la casa;859,97;0;-859,97;
;;30.01.11Televisione;280;0;-280;
;;30.01.12Sanatoria;1.636,54;0;-1.636,54;
;;30.01.13Avvocati X S. Michele;0;0;0;
;;30.01.15Giardinaggio;322,39;0;-322,39;
;;30.01.20Rifacimenti della casa;0;0;0;
;;30.01.99Spese ausiliarie;3.112;0;-3.112;
;30.02;Azienda dei Servizi;1.084,59;0;-1.084,59;
;;30.02.01Luce;493,56;0;-493,56;
;;30.02.02Acqua;233,33;0;-233,33;
;;30.02.03Gas;357,7;0;-357,7;
;30.03;Giardinaggio per la casa;0;0;0;
;30.04;telefono;364,2;0;-364,2;
;30.05;foto voltaico;100;0;-100;
;30.06;Uffici Stato;462;0;-462;
;30.07;Internet;0;0;0;
;30.08;Software;0;0;0;
;30.50;Casa Dogana;0;0;0;
;;30.50.01Rendita casa dogana;0;0;0;
;;30.50.02spese casa dogana;0;0;0;
;;30.50.10Assic. Casa Dogana;0;0;0;
;30.51;Casa Nonna;0;0;0;
;;30.51.10Finanza;0;0;0;
99;;Spese Non Classificate;13.121,03;6.946,97;-6.174,06;
